mobile,Model,sim type,display size,resolution,processor type,processor core,internal storage,ram,camera,network type,battery
"Vivo Z1Pro (Sonic Black, 64 GB)  (6 GB RAM)",Vivo 1951/PD1911F_EX,Dual Sim,16.59 cm (6.53 inch),2340 x 1080 pixels,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz,Octa Core,64 GB,6 GB,16MP + 8MP + 2MP,"3G, 4G VOLTE, 4G, 2G",5000 mAh
"Realme 3 Pro (Lightning Purple, 128 GB)  (6 GB RAM)",RMX1851,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE,Octa Core,128 GB,6 GB,16MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4045 mAh
"Realme 3 Pro (Nitro Blue, 64 GB)  (4 GB RAM)",RMX1851,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE,Octa Core,64 GB,4 GB,16MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4045 mAh
"Realme 3 Pro (Nitro Blue, 64 GB)  (6 GB RAM)",RMX1851,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE,Octa Core,64 GB,6 GB,16MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4045 mAh
"Realme 3 (Diamond Red, 64 GB)  (4 GB RAM)",RMX1825,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,MediaTek Helio P70 Octa Core 2.1 GHz AI,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4230 mAh
"Realme 3 (Dynamic Black, 64 GB)  (4 GB RAM)",RMX1825,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,MediaTek Helio P70 Octa Core 2.1 GHz AI,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4230 mAh
"Realme 3 (Radiant Blue, 32 GB)  (3 GB RAM)",RMX1825,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,MediaTek Helio P70 Octa Core 2.1 GHz AI,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4230 mAh
"Realme 3 (Dynamic Black, 32 GB)  (3 GB RAM)",RMX1825,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,MediaTek Helio P70 Octa Core 2.1 GHz AI,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4230 mAh
"Realme 3 (Radiant Blue, 64 GB)  (4 GB RAM)",RMX1825,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,MediaTek Helio P70 Octa Core 2.1 GHz AI,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4230 mAh
"Vivo Z1x (Phantom Purple, 64 GB)  (6 GB RAM)","Vivo 1917, PD1921F_EX",Dual Sim,16.21 cm (6.38 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 712 AIE,Octa Core,64 GB,6 GB,48MP + 8MP + 2MP,"4G, 3G, 2G",4500 mAh
"Realme 5 Pro (Sparkling Blue, 128 GB)  (8 GB RAM)",RMX1971,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz,Octa Core,128 GB,8 GB,"48MP + 8, 2, 2MP","4G VOLTE, 3G, 2G",4035 mAh
"Realme 5 Pro (Sparkling Blue, 64 GB)  (6 GB RAM)",RMX1971,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz,Octa Core,64 GB,6 GB,"48MP + 8, 2, 2MP","4G VOLTE, 3G, 2G",4035 mAh
"Infinix Hot 8 (Cosmic Purple, 64 GB)  (4 GB RAM)",X650C,Dual Sim,16.56 cm (6.52 inch),720 x 1600 pixels,Helio P22 (MTK6762),Octa Core,64 GB,4 GB,13MP + 2MP,"4G, 3G, 2G",5000 mAh
"Realme XT (Pearl White, 64 GB)  (4 GB RAM)",RMX1921,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 Pixels,Qualcomm 712,Octa Core,64 GB,4 GB,"64MP + 8, 2, 2MP","4G, 2G, 3G",4000 mAh
"Realme 3 (Diamond Red, 32 GB)  (3 GB RAM)",RMX1825,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,MediaTek Helio P70 Octa Core 2.1 GHz AI,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4230 mAh
"Realme 3 (Dynamic Black, 64 GB)  (3 GB RAM)",RMX1825,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,MediaTek Helio P70 Octa Core 2.1 GHz AI,Octa Core,64 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4230 mAh
"Realme 3 (Radiant Blue, 64 GB)  (3 GB RAM)",RMX1825,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,MediaTek Helio P70 Octa Core 2.1 GHz AI,Octa Core,64 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4230 mAh
"OPPO F11 (Fluorite Purple, 128 GB)  (6 GB RAM)",CPH1911,Dual Sim,16.59 cm (6.53 inch),1080 x 2340 pixels,MTK MT6771V (P70),Octa Core,128 GB,6 GB,48MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4020 mAh
"Vivo Z1x (Fusion Blue, 64 GB)  (6 GB RAM)","Vivo 1917, PD1921F_EX",Dual Sim,16.21 cm (6.38 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 712 AIE,Octa Core,64 GB,6 GB,48MP + 8MP + 2MP,"4G, 3G, 2G",4500 mAh
"Realme 5 Pro (Crystal Green, 128 GB)  (8 GB RAM)",RMX1971,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz,Octa Core,128 GB,8 GB,"48MP + 8, 2, 2MP","4G VOLTE, 3G, 2G",4035 mAh
"Redmi 8A (Midnight Black, 32 GB)  (2 GB RAM)",MZB8298IN,Dual Sim,15.8 cm (6.22 inch),1520 x 720 Pixels,Qualcomm Snapdragon 439,Octa Core,32 GB,2 GB,12MP,"4G VOLTE, 3G, 2G",5000 mAh
"Redmi 7A (Matte Blue, 32 GB)  (2 GB RAM)",MZB8008IN,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,Qualcomm Snapdragon 439,Octa Core,32 GB,2 GB,12MP,"4G VOLTE, 3G, 2G",4000 mAh
"Redmi Note 7 Pro (Neptune Blue, 128 GB)  (6 GB RAM)",MZB7700IN,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 675,Octa Core,128 GB,6 GB,48MP + 5MP,"3G, 4G VOLTE, 2G",4000 mAh
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)  (4 GB RAM)",MZB8005IN,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 675,Octa Core,64 GB,4 GB,48MP + 5MP,"3G, 4G VOLTE, 2G",4000 mAh
"Infinix Hot 8 (Quetzal Cyan, 64 GB)  (4 GB RAM)",X650C,Dual Sim,16.56 cm (6.52 inch),720 x 1600 pixels,Helio P22 (MTK6762),Octa Core,64 GB,4 GB,13MP + 2MP,"4G, 3G, 2G",5000 mAh
"OPPO F11 Pro (Aurora Green, 64 GB)  (6 GB RAM)",CPH1969,Dual Sim,16.51 cm (6.5 inch),2340 x 1080 pixels,MediaTek Helio P70 Octa Core 2.1 GHz,Octa Core,64 GB,6 GB,48MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"OPPO F11 Pro (Thunder Black, 64 GB)  (6 GB RAM)",CPH1969,Dual Sim,16.51 cm (6.5 inch),2340 x 1080 pixels,MediaTek Helio P70 Octa Core 2.1 GHz,Octa Core,64 GB,6 GB,48MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Motorola One Macro (Space Blue, 64 GB)  (4 GB RAM)",PAGS0005IN,Dual Sim,15.75 cm (6.2 inch),1520 x 720 Pixels,MediaTek Helio P70,Octa Core,64 GB,4 GB,"13MP + 2, 2MP","4G, 3G, 2G",4000 mAh
